code,parent,urn,name#es,name#en,name#ca,name#eu,name#gl,description#es,description#en,description#ca,description#eu,description#gl
_T,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._T,Todas las universidades,,,,,,,,,
UNIVERSIDADES_PUBLICAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,Universidades Públicas,,,,,,,,,
017,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).017,Universidad de Sevilla,,,,,,,,,
018,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).018,Universitat de València (Estudi General),,,,,,,,,
019,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).019,Universidad de Valladolid,,,,,,,,,
020,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).020,Universidad del País Vasco/Euskal Herriko Unibertsitatea,,,,,,,,,
021,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).021,Universidad de Zaragoza,,,,,,,,,
022,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).022,Universidad Autónoma de Barcelona,,,,,,,,,
023,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).023,Universidad Autónoma de Madrid,,,,,,,,,
024,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).024,Universidad Politécnica de Catalunya,,,,,,,,,
025,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).025,Universidad Politécnica de Madrid,,,,,,,,,
026,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).026,Universidad de Las Palmas de Gran Canaria,,,,,,,,,
027,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).027,Universitat Politècnica de València,,,,,,,,,
029,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).029,Universidad de Alcalá,,,,,,,,,
034,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).034,Universidad de Castilla-La Mancha,,,,,,,,,
035,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).035,Universidad Pública de Navarra,,,,,,,,,
036,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).036,Universidad Carlos III de Madrid,,,,,,,,,
037,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).037,Universidade de A Coruña,,,,,,,,,
038,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).038,Universidad de Vigo,,,,,,,,,
039,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).039,Universidad Pompeu Fabra,,,,,,,,,
040,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).040,Universidad Jaume I de Castellón,,,,,,,,,
042,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).042,Universidad Rovira I Virgili,,,,,,,,,
043,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).043,Universidad de Girona,,,,,,,,,
044,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).044,Universidad de Lleida,,,,,,,,,
045,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).045,Universidad de la Rioja,,,,,,,,,
048,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).048,Universidad de Almería,,,,,,,,,
049,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).049,Universidad de Huelva,,,,,,,,,
050,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).050,Universidad de Jaén,,,,,,,,,
051,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).051,Universidad de Burgos,,,,,,,,,
055,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).055,Universidad Miguel Hernández de Elche,,,,,,,,,
056,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).056,Universidad Rey Juan Carlos,,,,,,,,,
058,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).058,Universidad Pablo de Olavide,,,,,,,,,
063,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).063,Universidad Internacional de Andalucía,,,,,,,,,
