code,parent,urn,name#es,name#en,name#ca,name#eu,name#gl,description#es,description#en,description#ca,description#eu,description#gl
_T,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._T,Todas las universidades,,,,,,,,,
UNIVERSIDADES_PUBLICAS,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PUBLICAS,Universidades Públicas,,,,,,,,,
065,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).065,Universidad Camilo José Cela,,,,,,,,,
066,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).066,Universidad Católica San Antonio,,,,,,,,,
067,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).067,Universidad Cardenal Herrera-CEU,,,,,,,,,
068,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).068,Universidad Francisco de Vitoria,,,,,,,,,
069,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).069,Universidad Europea Miguel de Cervantes,,,,,,,,,
070,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).070,Universitat Abat Oliba CEU,,,,,,,,,
072,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).072,Católica de Valencia San Vicente Mártir,,,,,,,,,
073,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).073,Universidad San Jorge,,,,,,,,,
079,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).079,Universidad Europea de Canarias,,,,,,,,,
081,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).081,Universidad Loyola Andalucía,,,,,,,,,
082,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).082,Universidad Europea de Valencia,,,,,,,,,
083,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).083,Universidad Europea del Atlántico,,,,,,,,,
084,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).084,Universidad Fernando Pessoa-Canarias (UFP-C),,,,,,,,,
085,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).085,Universidad del Atlántico Medio,,,,,,,,,
087,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).087,ESIC Universidad ,,,,,,,,,
088,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).088,Universidad Internacional Villanueva,,,,,,,,,
089,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).089,CUNEF Universidad ,,,,,,,,,
094,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).094,Universidad Internacional de la Empresa  ,,,,,,,,,
097,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).097,Universidad Intercontinental de la Empresa  ,,,,,,,,,
098,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).098,Universidad Euneiz  ,,,,,,,,,
100,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).100,"Universidad de Diseño, Innovación y Tecnología (UDIT)  ",,,,,,,,,
UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,Universidades Privadas No Presenciales,,,,,,,,,
054,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).054,Universitat Oberta de Catalunya<br />,,,,,,,,,
074,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).074,Universidad a Distancia de Madrid,,,,,,,,,
076,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).076,Universitat Internacional Valenciana<br />,,,,,,,,,
077,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).077,Universidad Internacional de la Rioja,,,,,,,,,
080,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).080,Internacional Isabel I de Castilla,,,,,,,,,
090,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).UNIVERSIDADES_PRIVADAS_NO_PRESENCIALES,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000).090,Universidad de las Hespérides,,,,,,,,,
_O,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._O,Otros,Other,,,,"Usado para identificar información residual no contenida en otras categorías de la clasificación (en algunos contextos, por ejemplo, en las clasificaciones, se hace referencia a estos datos como no especificados en otra parte, no clasificados en otra parte, etc.)",,,,
_N,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._N,No sabe/No contesta,Non response,,,,Fallo al obtener la medida en una o más variables de estudio para uno o más elementos de una encuesta.,,,,
_U,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._U,No consta,No data/unknown,,,,"Fallo al obtener un dato (por ejemplo: sin respuesta, dato no disponible, información desconocida por el encuestado, etc.)",,,,
_X,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._X,No clasificable,Not allocated/unspecified,,,,"Se usa cuando el valor de una variable cae por debajo del rango esperado. Por ejemplo, se podría usar para un dato del que no se tiene suficiente información y no se le puede asignar una clasificación.",,,,
_Z,,urn:sdmx:org.sdmx.infomodel.codelist.Code=ISTAC:CL_RUCT_UNIVERSIDADES(01.000)._Z,No aplicable,Not applicable,,,,"Se usa en los casos en los que la codificación de un concepto es técnicamente requerida (dimensión o atributo obligatorio), pero no tiene significado estadístico para una serie u observación específica.",,,,
